state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence,choice_cond
0,0,1,0.817396054983725,0.182603945016274,0.668515985669808,18,1,-0.1,-0.0671800897170667,NaN,0,0.589021564183051,1,1
1,1,1,0.24955155379358,0.75044844620642,0.689213085340823,19,1,0.0157894736842105,0.0495810121564438,NaN,0,0.415590866456107,1,1
1,1,0,0.168139978052997,0.831860021947003,0.649080401212337,20,1,0.0157894736842105,0.0715695306588207,NaN,0,0.374415482692269,1,1
0,1,0,0.402873273864498,0.597126726135502,0.639462600491366,21,0,-0.0368421052631579,0.017812425668649,NaN,0,0.471040617398557,1,1
0,1,0,0.381162639009212,0.618837360990788,0.627431548872437,22,0,-0.00526315789473684,0.0219276436133156,NaN,0,0.466853265201387,1,1
0,0,1,0.938857137295156,0.0611428627048443,0.661789855931491,23,1,-0.1,-0.120090967832155,NaN,0,0.611848489478491,1,1
0,0,1,0.951884284713622,0.0481157152863776,0.691984480623945,24,1,-0.0578947368421053,-0.130654700196142,NaN,0,0.646220586643043,1,1
1,1,0,0.457831536336153,0.542168463663847,0.688586690934374,25,1,0.0263157894736842,0.00765828461369238,NaN,0,0.483808618809573,1,1
1,0,0,0.0615665918790061,0.938433408120994,0.646144469373665,1,0,0.1,0.119782684774928,NaN,0,0.5,0,1
1,0,0,0.757062184767541,0.242937815232459,0.571148810079599,2,0,0.0578947368421053,-0.0511666261624601,NaN,0,0.575136433177774,0,1
0,0,1,0.931571975213774,0.0684280247862257,0.673360654458173,3,1,-0.0157894736842105,-0.115036860807206,NaN,0,0.561411665000325,0,1
1,1,1,0.251424679756868,0.748575320243132,0.715826996896029,4,1,0.0157894736842105,0.0491367671785602,NaN,0,0.413813639601001,0,1
0,1,1,0.228201360673723,0.771798639326277,0.753541563897296,5,0,-0.0157894736842105,0.0548024420215663,NaN,0,0.382677031827566,0,1
1,1,1,0.1719285755438,0.8280714244562,0.788608923340379,6,1,0.0789473684210526,0.0703933960090064,NaN,0,0.333640515946723,0,1
1,1,1,0.0835954189615724,0.916404581038428,0.820625472204334,7,1,0.0789473684210526,0.105880044963865,NaN,0,0.259643844384995,0,1
0,1,0,0.417370907042344,0.582629092957656,0.812541179442137,8,0,-0.0157894736842105,0.0151029198573178,NaN,0,0.447014016105272,0,1
0,0,0,0.781684046667994,0.218315953332006,0.77224651973693,9,1,-0.0473684210526316,-0.0573292748724417,NaN,0,0.676075728351298,0,1
1,1,0,0.236419977344379,0.763580022655621,0.730451543384607,10,1,0.0368421052631579,0.0527564889102993,NaN,0,0.356482512319652,0,1
0,1,1,0.442663057224937,0.557336942775063,0.737541162019348,11,0,-0.00526315789473684,0.0104329080242569,NaN,0,0.473573226089064,0,1
1,1,1,0.0448214539394586,0.955178546060541,0.777786856924928,12,1,0.0894736842105263,0.133736342903686,NaN,0,0.283752718485003,0,1
1,1,0,0.154666457843977,0.845333542156023,0.721352288433297,13,1,0.0368421052631579,0.0759224282802278,NaN,0,0.308141761467452,0,1
1,0,0,0.74097858147193,0.25902141852807,0.685594029321415,14,0,0.0368421052631579,-0.0473558664531164,NaN,0,0.606682320944443,0,1
0,1,0,0.344660822939482,0.655339177060518,0.663722822929391,15,0,-0.068421052631579,0.0290496419621477,NaN,0,0.442339952435732,0,1
1,1,1,0.0118351082372483,0.988164891762752,0.711296151027417,16,1,0.1,0.188955413468012,NaN,0,0.340152531731163,0,1
0,0,1,0.868484452008043,0.131515547991957,0.741950292521098,17,1,-0.00526315789473684,-0.0841453199698303,NaN,0,0.655718692845493,0,1
0,0,1,0.646997539127761,0.353002460872239,0.754407859292019,18,1,-0.068421052631579,-0.0273957084462012,NaN,0,0.571132195183687,0,1
0,0,0,0.89251899792289,0.10748100207711,0.694162320431933,19,1,-0.0789473684210526,-0.0940241069058611,NaN,0,0.699719835986022,0,1
1,0,0,0.845460062978015,0.154539937021985,0.6477506184652,20,0,0.0157894736842105,-0.0759646581475471,NaN,0,0.634150654888746,0,1
1,1,0,0.0292778287165642,0.970722171283436,0.583060243647745,21,1,0.0578947368421053,0.151879363309859,NaN,0,0.360901016135181,0,1
1,1,1,0.363473853723146,0.636526146276854,0.594816220024862,22,1,0.0157894736842105,0.0253428425218692,NaN,0,0.477320210051914,0,1
0,0,1,0.918017737921166,0.0819822620788337,0.626882635789312,23,1,-0.0578947368421053,-0.10678155085745,NaN,0,0.579269723626056,0,1
0,0,1,0.525022516650159,0.474977483349841,0.628925234196235,24,1,-0.00526315789473684,-0.00453780971637052,NaN,0,0.506349845733308,0,1
0,0,1,0.728973097078861,0.271026902921139,0.645812365729175,25,1,-0.0894736842105263,-0.0446052183753052,NaN,0,0.559040820331059,0,1
0,0,1,0.361892477614263,0.638107522385738,0.453964159204754,1,1,-0.0157894736842105,0.0256512859226221,NaN,1,0.5,1,1
1,1,0,0.66383870287857,0.33616129712143,0.508843878289888,2,1,0.0263157894736842,-0.0307533264888228,NaN,1,0.484915095116365,1,1
1,1,0,0.707640780145178,0.292359219854822,0.575778353282492,3,1,0.1,-0.0398885071091697,NaN,1,0.503672699575243,1,1
0,0,1,0.501361504067869,0.498638495932131,0.57619217956248,4,1,-0.0789473684210526,-0.000246714538805176,NaN,1,0.500206345072501,1,1
0,0,1,0.934851786101325,0.065148213898675,0.69289147267693,5,1,-0.1,-0.117249902268788,NaN,1,0.566264610739395,1,1
0,0,1,0.701909765935979,0.298090234064021,0.729503068459616,6,1,-0.0157894736842105,-0.0386545475400407,NaN,1,0.57789334419849,1,1
1,1,0,0.160308169654642,0.839691830345358,0.640857056348437,7,1,0.0473684210526316,0.0740658292684008,NaN,1,0.344079365210154,1,1
1,0,1,0.523816599349898,0.476183400650102,0.645919468980219,8,0,0.068421052631579,-0.00431879892502331,NaN,1,0.506709472153313,1,1
0,0,1,0.822771648423369,0.177228351576631,0.703774242044133,9,1,-0.0789473684210526,-0.0687802259340764,NaN,1,0.594197335079616,1,1
0,0,1,0.558944544281312,0.441055455718688,0.713473228922156,10,1,-0.0894736842105263,-0.0107279613998117,NaN,1,0.524022759667122,1,1
0,0,1,0.546073934416087,0.453926065583913,0.720847401288003,11,1,-0.0578947368421053,-0.0083711957923398,NaN,1,0.5196711030979,1,1
0,0,0,0.986158359565344,0.0138416404346556,0.583136676023315,12,1,-0.1,-0.182658282431093,NaN,1,0.71473362064889,1,1
0,0,1,0.782284022472779,0.217715977527221,0.627626772471654,13,1,-0.0578947368421053,-0.0574850994310597,NaN,1,0.546936310645755,1,1
1,1,0,0.140333756691229,0.859666243308771,0.560387301181613,14,1,0.0368421052631579,0.0808877026407375,NaN,1,0.408193916398994,1,1
1,0,1,0.695465927338871,0.304534072661129,0.589879494808526,15,0,0.00526315789473684,-0.037282324066856,NaN,1,0.523607319649911,1,1
1,1,1,0.0858456426350037,0.914154357364996,0.643557213785832,16,1,0.1,0.104647335214078,NaN,1,0.425552031174569,1,1
0,0,1,0.910260064046851,0.0897399359531488,0.684751868527755,17,1,-0.00526315789473684,-0.10257830880197,NaN,1,0.617791583444326,1,1
0,0,0,0.953269235045409,0.0467307649545909,0.61316319731401,18,1,-0.0578947368421053,-0.131926068121714,NaN,1,0.667484676241571,1,1
0,1,0,0.14317323758309,0.85682676241691,0.567383841071232,19,0,-0.0157894736842105,0.0798734061985845,NaN,1,0.419240685355392,1,1
1,1,0,0.156876382361558,0.843123617638442,0.526336091313749,20,1,0.0578947368421053,0.0751890684357126,NaN,1,0.45375802536253,1,1
0,0,0,0.80105308016765,0.19894691983235,0.49298360082418,21,1,-0.00526315789473684,-0.0625169546216692,NaN,1,0.515857122819162,1,1
0,1,0,0.974567775956646,0.0254322240433536,0.543608488411956,22,0,-0.1,-0.157761570682192,NaN,1,0.493340486095814,1,1
0,0,1,0.906619351768805,0.0933806482311947,0.579170378504334,23,1,-0.0263157894736842,-0.100712538297349,NaN,1,0.535464110579374,1,1
0,0,0,0.771677888003649,0.228322111996351,0.553478788015529,24,1,-0.00526315789473684,-0.0547720333788166,NaN,1,0.543017682449014,1,1
1,1,1,0.273182115880647,0.726817884119353,0.572106798459297,25,1,0.00526315789473684,0.0441191734466719,NaN,1,0.475740108914101,1,1
0,0,1,0.859784313036246,0.140215686963754,0.619928104345415,1,1,-0.068421052631579,-0.0809302288290946,NaN,1,0.5,0,1
1,1,0,0.183690977193914,0.816309022806086,0.517084052543024,2,1,0.0894736842105263,0.0668607382869978,NaN,1,0.424131317015031,0,1
0,0,1,0.983939659988088,0.0160603400119117,0.650340821765424,3,1,-0.068421052631579,-0.176641752099455,NaN,1,0.516535301157779,0,1
0,0,1,0.952266823665418,0.0477331763345821,0.723332777107271,4,1,-0.068421052631579,-0.131002499816998,NaN,1,0.635988331854194,0,1
1,1,0,0.280543837118482,0.719456162881518,0.681546282376095,5,1,0.0157894736842105,0.0424756381335275,NaN,1,0.40197649138073,0,1
